date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:02	3029360/3029360	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:26:59%20GMT	https://classcentral/universities	C:/My%20Web%20Sites/class6/classcentral/universities.html	(from https://classcentral/)
10:27:02	170638/170638	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:06:14%20GMT	https://classcentral/report/	C:/My%20Web%20Sites/class6/classcentral/report/index.html	(from https://classcentral/)
10:27:03	838875/838875	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:27:01%20GMT	https://classcentral/collection/top-free-online-courses	C:/My%20Web%20Sites/class6/classcentral/collection/top-free-online-courses.html	(from https://classcentral/)
10:27:04	4282/4282	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2009:46:24%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://classcentral/)
10:27:04	33057/33057	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2005:59:43%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://classcentral/)
10:27:04	4168/4168	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2010:06:30%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://classcentral/)
10:27:05	35437/35437	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2013:28:01%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://classcentral/)
10:27:05	198673/198673	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:20:51%20GMT	https://classcentral/report/most-popular-online-courses/	C:/My%20Web%20Sites/class6/classcentral/report/most-popular-online-courses/index.html	(from https://classcentral/)
10:27:05	145439/145439	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:09%20GMT	https://classcentral/report/best-free-online-courses-2022/	C:/My%20Web%20Sites/class6/classcentral/report/best-free-online-courses-2022/index.html	(from https://classcentral/)
10:27:06	153563/153563	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:10%20GMT	https://classcentral/report/best-free-online-courses-2021/	C:/My%20Web%20Sites/class6/classcentral/report/best-free-online-courses-2021/index.html	(from https://classcentral/)
